Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
217885191,"The Situationship (Part of Your World, #3.5)",Abby Jimenez,"Jimenez, Abby",,"=""1538773724""","=""9781538773727""",0,3.85,Forever,Kindle Edition,37,2024,2024,,2024/08/22,to-read,to-read (#382),to-read,,,,0,0
4989,The Red Tent,Anita Diamant,"Diamant, Anita",,"=""0312353766""","=""9780312353766""",0,4.20,St. Martin's Press,Hardcover,324,1997,1997,,2024/08/22,to-read,to-read (#381),to-read,,,,0,0
194020321,Home Is Where the Bodies Are,Jeneva Rose,"Rose, Jeneva",,"=""""","=""9798212182843""",0,3.81,"Blackstone Publishing, Inc.",Hardcover,256,2024,2024,,2024/08/22,to-read,to-read (#380),to-read,,,,0,0
62888191,Monstrilio,Gerardo Sámano Córdova,"Córdova, Gerardo Sámano",,"=""1638930368""","=""9781638930365""",0,4.09,Zando,Hardcover,336,2023,2023,,2024/08/21,to-read,to-read (#379),to-read,,,,0,0
33375622,Her Body and Other Parties: Stories,Carmen Maria Machado,"Machado, Carmen Maria",,"=""155597788X""","=""9781555977887""",2,3.81,Graywolf Press,Paperback,248,2017,2017,2024/08/21,2023/11/27,,,read,,,,1,0
43708708,White Fragility: Why It's So Hard for White People to Talk About Racism,Robin DiAngelo,"DiAngelo, Robin","Michael Eric Dyson, Manon Smits, Rob Kuitenbrouwer, Amy Landon","=""0807071161""","=""9780807071168""",4,4.16,Beacon Press,Audiobook,7,2018,2018,2024/08/18,2024/08/01,,,read,,,,1,0
991197,The Complete Persepolis,Marjane Satrapi,"Satrapi, Marjane",,"=""0375714839""","=""9780375714832""",4,4.40,Pantheon Books,Paperback,341,2007,2007,2024/08/17,2024/08/01,,,read,,,,1,0
215362543,Homegrown Magic,Jamie Pacton,"Pacton, Jamie",Rebecca Podos,"=""0593873653""","=""9780593873656""",0,3.42,Del Rey,Paperback,368,2025,2025,,2024/08/15,to-read,to-read (#378),to-read,,,,0,0
207611566,Witchcraft for Wayward Girls,Grady Hendrix,"Hendrix, Grady",,"=""0593548981""","=""9780593548981""",0,3.93,Berkley,Hardcover,482,2025,2025,,2024/08/15,to-read,to-read (#376),to-read,,,,0,0
198493860,"How to Become the Dark Lord and Die Trying (Dark Lord Davi, #1)",Django Wexler,"Wexler, Django",,"=""0316392200""","=""9780316392204""",0,3.77,Orbit,Paperback,392,2024,2024,,2024/08/15,to-read,to-read (#375),to-read,,,,0,0
